label, Action
0,1
1,100
2,15
3,16
4,1st
5,2
6,20
7,21
8,25
9,3
10,30
11,4
12,40
13,5
14,6
15,60
16,7
17,about
18,above
19,accept
20,accepted
21,access
22,across
23,actually
24,addict
25,additional
26,admit
27,affect
28,after
29,after-that
30,again
31,aggro
32,ago
33,agree
34,agreed
35,akela
36,alive
37,all
38,alone
39,already
40,although
41,always
42,amazing
43,amen
44,and
45,angry
46,anniversary
47,another
48,any
49,anything
50,anything-else
51,apologise
52,appear
53,apply
54,appointment
55,area
56,around
57,ask
58,ask-me
59,asleep
60,at-least
61,attract
62,attrition
63,average
64,award
65,away
66,awful
67,baby
68,back
69,background
70,bad
71,bald
72,basically
73,bath
74,battle
75,bbc1
76,bcc
77,be-careful
78,bear
79,beard
80,beautiful
81,beauty
82,because
83,bedsit
84,been
85,before
86,begin
87,behind
88,believe
89,bench
90,benefit
91,best
92,better
93,between
94,billion
95,bin
96,bird
97,birmingham
98,bit
99,bless
100,block
101,body
102,bond
103,book
104,booked
105,born
106,born-(alternative)
107,borrow
108,both
109,bought
110,boyfriend
111,brass
112,brave
113,break
114,breakfast
115,brilliant
116,bring
117,broken
118,brother
119,brought
120,build
121,building
122,building-site
123,business
124,busy
125,but
126,buy
127,buying
128,bye
129,call
130,came
131,can
132,can't
133,cannot
134,car
135,care
136,career
137,careful
138,carry-on
139,cash
140,cast
141,castle
142,cd
143,centre
144,century
145,certain
146,certainly
147,chance
148,change
149,change-(clothes)
150,change-(money)
151,changed
152,charge
153,cheque
154,children
155,choice
156,choose
157,church
158,city
159,cladding
160,class
161,clean
162,clear
163,close
164,clothes
165,clown
166,coffee
167,come
168,come-on
169,coming
170,commit
171,commitment
172,community
173,company
174,complete
175,contact
176,control
177,conversation
178,cool
179,corner
180,corridor
181,couldnt
182,council
183,couple
184,cow
185,create
186,cry
187,crying
188,curtain
189,cut
190,cutting
191,dad
192,daddy
193,daughter
194,day
195,dda
196,deal
197,death
198,decide
199,definition
200,demand
201,department
202,design
203,development
204,diary
205,die
206,difference
207,different
208,direction
209,diy
210,djing
211,dna
212,do
213,doctor
214,document
215,dog
216,dome
217,don't-want
218,down
219,draping
220,dream
221,dress
222,drink
223,drive
224,drug
225,drum
226,dvd
227,dwelling
228,dynamic
229,e-mail
230,each
231,each-other
232,early
233,easy
234,eat
235,eating
236,edge
237,electric
238,embarrass
239,embarrassed
240,emergency
241,empty
242,encourage
243,end
244,enhance
245,enjoy
246,enough
247,environment
248,euro-money
249,ever
250,every
251,every-day
252,everybody
253,everyone
254,everything
255,exact
256,excellent
257,excited
258,excuse
259,excuse-me
260,expensive
261,express
262,extra
263,eye
264,face
265,fact
266,fade
267,fair
268,faith
269,fall
270,family
271,fantastic
272,far
273,fast
274,faster
275,father
276,fault
277,fax
278,february
279,feel
280,fell
281,felt
282,few
283,fight
284,finally
285,find
286,fine
287,firm
288,first
289,first-one
290,fit
291,five
292,flat
293,focus
294,foot
295,for
296,force
297,forget
298,forget-it
299,forward
300,four
301,freedom
302,fresh
303,friend
304,friends
305,from
306,front
307,full
308,fun
309,furniture
310,further
311,future
312,get
313,get-on
314,girl
315,girlfriend
316,give
317,give-up
318,glad
319,go
320,go-(directional)
321,go-out
322,god
323,good
324,goodbye
325,gospel
326,got
327,got-it
328,great
329,grill
330,group
331,grow
332,guarantee
333,habit
334,hair
335,hang
336,happen
337,happy
338,hard
339,have
340,have-to
341,he
342,hear
343,heart
344,heat
345,hell
346,help
347,her
348,here
349,high
350,him
351,hit
352,home
353,hope
354,hot
355,hot-water
356,hour
357,house
358,housing
359,how
360,how-long
361,how-you
362,html
363,http
364,hungry
365,i-f
366,i-know
367,idea
368,identify
369,idiot
370,if
371,ignore
372,important
373,impossible
374,in
375,in-the-middle
376,in-the-past
377,inbox
378,income
379,innovative
380,interact
381,interactive
382,interest
383,interested
384,interested-in
385,introduce
386,ipod
387,iron
388,is-that-all
389,isp
390,issue
391,it
392,italian
393,itv
394,jesus
395,joke
396,jump
397,just
398,keep
399,key
400,kick
401,kid
402,kill
403,kind
404,kiss
405,kitchen
406,knew
407,know
408,krill
409,lahar
410,language
411,laptop
412,last
413,last-month
414,last-one
415,last-time
416,last-year
417,late
418,later
419,latte
420,launch
421,leasehold
422,leave
423,left
424,lesson
425,let
426,let-(squash)
427,letter
428,lie
429,life
430,lifestyle
431,lift
432,light
433,like
434,line
435,listen
436,little
437,live
438,live-here
439,load
440,loads
441,local
442,location
443,london
444,long
445,long-time
446,look
447,lord
448,lose
449,lost
450,lot
451,lots
452,love
453,lovely
454,lucky
455,luxury
456,made
457,mail
458,mailto
459,main
460,make
461,making
462,male
463,man
464,many
465,mark
466,market
467,marketing
468,married
469,marry
470,material
471,matt
472,matter
473,may
474,maybe
475,mdf
476,me
477,mean
478,meet
479,meeting
480,men
481,mentor
482,message
483,metal
484,middle
485,might
486,million
487,mind
488,mine
489,ministry
490,minute
491,miss
492,missing
493,mix
494,mle
495,moan
496,model
497,modern
498,monday
499,money
500,month
501,more
502,morning
503,most
504,mother
505,move
506,much
507,mum
508,must
509,my
510,name
511,nand
512,need
513,negative
514,never
515,new
516,news
517,next
518,next-2
519,nice
520,no
521,not
522,not-enough
523,nothing
524,now
525,number
526,nut
527,nvq
528,obvious
529,october
530,off
531,offer
532,often
533,old
534,on
